adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,2,6193,Acting,Leonardo DiCaprio,Leonardo DiCaprio,9.213,/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg,412,Jack Dawson,675afdf316336674f49cfb45,0
False,1,204,Acting,Kate Winslet,Kate Winslet,7.2567,/zIiU5mOcinbkpHWCxuDigucsyZC.jpg,413,Rose DeWitt Bukater,675afdffc7d3f2f93e131ebc,1
False,2,1954,Acting,Billy Zane,Billy Zane,3.5797,/7CBwxqE00aZAAEBaRkapylgdi15.jpg,414,Cal Hockley,675afe15deb41dde9ded0ea2,2
False,1,8534,Acting,Kathy Bates,Kathy Bates,2.0193,/nP7zRmXJyMyj2OohclSSo6JAEbD.jpg,415,Molly Brown,675afe29d9d5195fadaa30e9,3
False,1,3713,Acting,Frances Fisher,Frances Fisher,2.6195,/3iNDgd54IIj8g8hGqhhUjM6TeWd.jpg,416,Ruth DeWitt Bukater,675afe3416336674f49cfb6e,4
False,1,8535,Acting,Gloria Stuart,Gloria Stuart,0.7895,/9aG7UUX3PWIGGf1KRY5TsBSoNz9.jpg,417,Old Rose,675afe3fd9d5195fadaa3107,5
False,2,2053,Acting,Bill Paxton,Bill Paxton,1.9376,/vbrgcMsy7m7Pc0O0glRZugfZgoK.jpg,419,Brock Lovett,675afe61d9d5195fadaa312b,6
False,2,1369,Acting,Bernard Hill,Bernard Hill,0.9933,/5i8bj2nsTrFU2ddSynleOjapxor.jpg,420,Captain Smith,675afe6bc7d3f2f93e131eff,7
False,2,2076,Acting,David Warner,David Warner,1.9743,/sJ5NyKkTmFGyiTrpCnZ1v0DSnQG.jpg,421,Spicer Lovejoy,675afe78c7d3f2f93e131f0c,8
False,2,8536,Acting,Victor Garber,Victor Garber,1.1682,/zPkpRPdW7rEm4fjgoJNz8hAZ6av.jpg,418,Thomas Andrews,675afe4e16336674f49cfb75,9
False,2,8537,Acting,Jonathan Hyde,Jonathan Hyde,0.9796,/iNLNW7tH8GRpCP9INLXGmwVU1hK.jpg,422,Bruce Ismay,675afe88d9d5195fadaa3154,10
False,1,2179,Acting,Suzy Amis,Suzy Amis,1.3731,/q8aPLY9CjCl7tp60neddbJl4ZfW.jpg,424,Lizzy Calvert,675afeb5ff0272934b0afe66,11
False,2,8538,Acting,Lewis Abernathy,Lewis Abernathy,1.1563,/bkFz6dgGCjIEvreB2G3Yj49a6QD.jpg,423,Lewis Bodine,675afeaaa5d42e56c07bd4e5,12
False,2,8539,Acting,Nicholas Cascone,Nicholas Cascone,0.8391,,425,Bobby Buell,675afebfdeb41dde9ded0ec3,13
False,2,93215,Acting,Anatoly M. Sagalevitch,Anatoly M. Sagalevitch,0.1591,/apoz1iXhYVvyfRBnPcfN6R15Ztu.jpg,51,Anatoly Milkailavich,52fe425ac3a36847f8017a45,14
False,2,8540,Acting,Danny Nucci,Danny Nucci,2.1151,/w8nMQvgBFY5vuDoN5B698ostLWN.jpg,426,Fabrizio,675afedec7d3f2f93e131f6b,15
False,2,8541,Acting,Jason Barry,Jason Barry,1.2699,/iWDjll5GSVWCRSSe3XLDAtKq0ag.jpg,427,Tommy Ryan,675afeead9d5195fadaa3191,16
False,2,3071,Acting,Ewan Stewart,Ewan Stewart,0.7697,/kSCa6itTQeukTzWxN0bAfU3i4y4.jpg,40,1st Officer Murdoch,52fe425ac3a36847f8017a17,17
False,2,65524,Acting,Ioan Gruffudd,Ioan Gruffudd,2.2692,/h2pg2XwJPcOWotHgiohXjEZUBLa.jpg,41,Fifth Officer Lowe,52fe425ac3a36847f8017a1b,18
False,2,8547,Acting,Jonny Phillips,Jonny Phillips,0.97,/bq5ecEmED8r7lqwu5DXnKEixLd8.jpg,42,2nd Officer Lightoller,52fe425ac3a36847f8017a1f,19
False,2,41266,Acting,Mark Lindsay Chapman,Mark Lindsay Chapman,0.5985,/6LmGSyU6TQU9Xdafg9bKseofaVg.jpg,100,Chief Officer Wilde,587fd5a7925141777a00015e,20
False,2,26863,Acting,Richard Graham,Richard Graham,0.6459,/ukEz43251dO4Gn9O3o0XzLmKqOf.jpg,101,Quartermaster Rowe,587fd5d0925141776f00016c,21
False,2,1256066,Acting,Paul Brightwell,Paul Brightwell,0.9241,/tVBcfCsxojACULbfrDmveJBX35S.jpg,102,Quartermaster Hichens,587fd5ec925141777800018b,22
False,2,63141,Acting,Ron Donachie,Ron Donachie,0.7841,/vnBM7idgiyXoat1E8IBKGekx2GS.jpg,103,Master at Arms,587fd5fec3a36863e7000180,23
False,2,8544,Acting,Eric Braeden,Eric Braeden,1.1378,/3EYWKMIcXJLAYZODY20Z6DpkNUp.jpg,38,John Jacob Astor,52fe425ac3a36847f8017a0f,24
False,1,55957,Acting,Charlotte Chatton,Charlotte Chatton,0.4916,/vhV0qc6leXokgUo0DnkpKYJIeCR.jpg,104,Madeleine Astor,587fd61f925141776f0001c0,25
False,2,8545,Acting,Bernard Fox,Bernard Fox,0.5159,/7eSBf5vDFSAJJv8VxR0VfyXajkR.jpg,39,Col. Archibald Gracie,52fe425ac3a36847f8017a13,26
False,2,1080265,Acting,Michael Ensign,Michael Ensign,0.4947,/kCFAgMTp7kHDN1YzrlIi1aBaaoF.jpg,50,Benjamin Guggenheim,52fe425ac3a36847f8017a41,27
False,1,1697673,Acting,Fannie Brett,Fannie Brett,0.1136,,105,Madame Aubert,587fd69f9251417772000243,28
False,1,3981,Acting,Jenette Goldstein,Jenette Goldstein,1.0454,/4YZVLLWEFtxPLaOAlndfzxH1WG1.jpg,106,Irish Mommy,587fd754c3a36863c900032b,29
False,1,230727,Acting,Camilla Overbye Roos,Camilla Overbye Roos,0.7729,/8GjcLUOetLGRCOhfXpakSFLDfDS.jpg,107,Helga Dahl,587fd777925141778100036a,30
False,1,1741441,Acting,Linda Kerns,Linda Kerns,0.6583,/uB1G41lgd7FySvyt7fzq8eugYYt.jpg,108,3rd Class Woman,587fd7eb92514177720003b6,31
False,1,1741443,Acting,Amy Gaipa,Amy Gaipa,0.4048,,109,Trudy Bolt,587fd8b5c3a36863d2000480,32
