adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job
False,2,2710,Directing,James Cameron,James Cameron,4.0436,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,52fe425ac3a36847f801795b,Directing,Director
False,2,1729,Sound,James Horner,James Horner,0.6766,/g2C3Fb4fHCU2gnqUcwTQCv5EZc4.jpg,52fe425ac3a36847f8017967,Sound,Original Music Composer
False,2,8523,Camera,Russell Carpenter,Russell Carpenter,0.3529,/lUvCkzSLCJe7HcQGSIO4wLHuRF.jpg,52fe425ac3a36847f801796d,Camera,Director of Photography
False,2,3987,Editing,Conrad Buff IV,Conrad Buff IV,0.4976,,52fe425ac3a36847f8017973,Editing,Editor
False,2,2710,Directing,James Cameron,James Cameron,4.0436,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,52fe425ac3a36847f8017979,Editing,Editor
False,2,3985,Editing,Richard A. Harris,Richard A. Harris,0.0256,,52fe425ac3a36847f801797f,Editing,Editor
False,1,1262,Production,Mali Finn,Mali Finn,0.1357,,52fe425ac3a36847f8017985,Production,Casting
False,2,8524,Art,Peter Lamont,Peter Lamont,1.0498,/fYRYLO1GTvXULvwR2EfyHyFH1Ve.jpg,52fe425ac3a36847f801798b,Art,Production Design
False,2,8525,Art,Martin Laing,Martin Laing,0.6425,,52fe425ac3a36847f8017991,Art,Art Direction
False,2,8526,Art,Michael Ford,Michael Ford,0.214,,52fe425ac3a36847f8017997,Art,Set Decoration
False,1,8527,Costume & Make-Up,Deborah L. Scott,Deborah L. Scott,1.1647,/dDeKEOecx13vSMMHgYbjbGcsA7K.jpg,52fe425ac3a36847f801799d,Costume & Make-Up,Costume Design
False,2,8528,Production,Grant Hill,Grant Hill,1.0902,/5rg31yzhZoExI8om31igSMpXx1l.jpg,52fe425ac3a36847f80179a3,Production,Unit Production Manager
False,2,8529,Production,Jon Landau,Jon Landau,0.2303,/9KKHK9oiK87aqahsLazQr4Lvyq4.jpg,52fe425ac3a36847f80179a9,Production,Unit Production Manager
False,1,8530,Production,Sharon Mann,Sharon Mann,0.3905,,52fe425ac3a36847f80179af,Production,Unit Production Manager
False,0,8531,Production,Anna Roth,Anna Roth,0.1241,,52fe425ac3a36847f80179b5,Production,Unit Production Manager
False,1,8532,Crew,Lisa Dennis,Lisa Dennis,0.1323,,52fe425ac3a36847f80179c1,Crew,Post Production Supervisor
False,0,8533,Production,Giedra Rackauskas,Giedra Rackauskas,0.045,,52fe425ac3a36847f80179c7,Production,Production Supervisor
False,1,22059,Production,Emily Schweber,Emily Schweber,0.7543,/6IU90Qj0JPysGHlU9BeZvTRLrne.jpg,52fe425ac3a36847f8017a3d,Production,Casting
False,1,16303,Acting,Céline Dion,Céline Dion,0.4969,/eR4PVLOJiRtP40uhJefNkdwAtPo.jpg,608c7a6171ffdf00777590cc,Sound,Theme Song Performance
False,1,1880383,Crew,Janet Brady,Janet Brady,0.2994,,6505db8b394a8700ff6ba716,Crew,Stunts
False,2,2710,Directing,James Cameron,James Cameron,4.0436,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,537db555c3a368059b000d09,Production,Producer
False,2,8529,Production,Jon Landau,Jon Landau,0.2303,/9KKHK9oiK87aqahsLazQr4Lvyq4.jpg,537db578c3a3680598000dcf,Production,Producer
False,0,1322392,Costume & Make-Up,Sarah Touaibi,Sarah Touaibi,0.0742,,537db651c3a36805a4000dc0,Costume & Make-Up,Costume Supervisor
False,2,1322393,Costume & Make-Up,Adolfo Ramírez,Adolfo Ramírez,0.208,,537db670c3a36805a8000da8,Costume & Make-Up,Costume Supervisor
False,1,1457926,Crew,Sandy Berumen,Sandy Berumen,0.9311,/4XH6PRPD7cjvKWZqcuC1FVbvB3r.jpg,652a068f358da70100c0ac85,Crew,Stunts
False,1,1610245,Crew,Joni Avery,Joni Avery,0.2855,/o1fDxkAnyGCU9Fs2jfUHHzfXXiS.jpg,652a069c0cb33516f882a08b,Crew,Stunts
False,2,81687,Crew,Rick Avery,Rick Avery,0.1338,/7CiosKnycMKSi3UD2cXFJJNceAZ.jpg,652a06a6ea84c7014e047fd6,Crew,Stunts
False,1,16576,Crew,Simone Boisseree,Simone Boisseree,0.7048,,652a06ab0929f601009122d2,Crew,Stunts
False,2,14385,Crew,Charlie Brewer,Charlie Brewer,0.2216,/yF2tMG3YqDT9kcy2yeFQ4vsml3L.jpg,652a06bb1f3e6000c588dcb4,Crew,Stunts
False,2,3094348,Crew,Mike Avery,Mike Avery,0.551,/8UDpoCxzZJiHdnOY4s3QtlDZYl3.jpg,652a06bfea84c7010c1b455e,Crew,Stunts
False,2,1236043,Crew,John Casino,John Casino,0.7044,/sjUcuBHyIllVJBvZBurp7GaID90.jpg,652a06c6ea84c700aef22000,Crew,Stunts
False,0,1324478,Acting,Clarke Coleman,Clarke Coleman,0.1555,,652a06d581383100c48b23e2,Crew,Stunts
False,2,589957,Crew,Doc D. Charbonneau,Doc D. Charbonneau,0.206,,652a06e91f3e6000c588dce0,Crew,Stunts
False,2,1457633,Crew,Leon Delaney,Leon Delaney,0.6588,,652a0705f28838029f31ce25,Crew,Stunts
False,2,12879,Crew,Vince Deadrick Jr.,Vince Deadrick Jr.,0.9756,/sC1sdK5wObOuwtjHhMXKjg42FoJ.jpg,652a070ef2883802a009f1e9,Crew,Stunts
False,2,1648160,Crew,Dane Farwell,Dane Farwell,0.4971,/tw5vgvb46XdaZ3YVh49YObfsi9i.jpg,652a071cf28838029ec50317,Crew,Stunts
False,1,1595478,Crew,Dana Dru Evenson,Dana Dru Evenson,0.4084,/jPOA5LdCAEqUOIx9cmnmd7koLAW.jpg,652a0727358da700ad346a3c,Crew,Stunts
False,2,1645509,Crew,Troy Gilbert,Troy Gilbert,0.1971,/nlov1g2o5f9kEAYP9xDGtqQiyGS.jpg,652a07390929f600ad34e801,Crew,Stunts
False,2,1345608,Crew,Lance Gilbert,Lance Gilbert,0.1824,/5amEmoYq14P7ndbljvVNeaCZuUF.jpg,652a073ef2883802a1db279e,Crew,Stunts
False,2,1538386,Crew,Chuck 'Chaz' Hosack,Chuck 'Chaz' Hosack,0.1063,,652a0744ea84c700eba14ec7,Crew,Stunts
False,2,1905689,Crew,Gary Guercio,Gary Guercio,0.1051,,652a0759358da701406bbf8f,Crew,Stunts
False,2,1393339,Crew,Mike Justus,Mike Justus,0.6378,,652a076bf2883802a009f21f,Crew,Stunts
False,1,564786,Crew,Marcia Holley,Marcia Holley,0.1066,,652a0770f28838029ec5036a,Crew,Stunts
False,2,63423,Production,Johnny Martin,Johnny Martin,0.2171,/mtNPfGwZKGnLE4MzauUcoGM7NHn.jpg,652a077f81383100e12f5d19,Crew,Stunts
False,2,1638032,Crew,Dustin Meier,Dustin Meier,0.1158,,652a07850929f600ad34e835,Crew,Stunts
False,0,1321750,Crew,Kurt D. Lott,Kurt D. Lott,0.1987,/lPUdu9RkkSy6xLxKRbVMV3Ruh2W.jpg,652a078a1f3e60011c49f1d8,Crew,Stunts
False,2,20582,Acting,Michael Papajohn,Michael Papajohn,0.5005,/hdTJBfIXfvRdlD1p8y6rra207UP.jpg,652a079a0cb33516fec75623,Crew,Stunts
False,1,63942,Acting,Julie Michaels,Julie Michaels,0.974,/hXYvvPhWbXNULOV2kge9EyH5OIC.jpg,652a07a5358da700e3bcec50,Crew,Stunts
False,2,1226060,Crew,Larry Rippenkroeger,Larry Rippenkroeger,0.262,/zt2IKD6dyjbjz6KC1rJePL3qcKo.jpg,652a07bb0cb33516f63e1522,Crew,Stunts
False,1,143900,Crew,Diane Peterson,Diane Peterson,0.326,/xzwpzSAo9fv47oDNgqqghB8BdDS.jpg,652a07c01f3e60011c49f20a,Crew,Stunts
False,2,18889,Crew,Mic Rodgers,Mic Rodgers,0.3125,/zGhWhiTfzeSzfKt9kK4Bk6ZS0xn.jpg,652a07cb0cb33516fd493987,Crew,Stunts
False,2,1656382,Crew,Danny Rogers,Danny Rogers,0.144,/4aVOu7bhGFOJxfXbfTwWTDhmRTO.jpg,652a07d11f3e60011c49f214,Crew,Stunts
False,2,2083233,Crew,Lincoln Simonds,Lincoln Simonds,0.1894,,652a07e0358da700c6f0afe0,Crew,Stunts
False,2,15438,Crew,Erik Stabenau,Erik Stabenau,0.213,/FXAvL8IXyByCAPhXlPLTqXh9kj.jpg,652a07e4f2883802a1db281a,Crew,Stunts
False,2,200402,Crew,Tim Trella,Tim Trella,0.9912,/bzgr1RT7gmO75s3b2QGOfEcBJff.jpg,652a07f6ea84c700aef220d1,Crew,Stunts
False,1,1116420,Crew,Victoria Vanderkloot,Victoria Vanderkloot,0.5563,/f8uDTFjSfClmTg6so932kXxsTP9.jpg,652a07feea84c7010c1b4662,Crew,Stunts
False,1,92482,Crew,Lynn Salvatori,Lynn Salvatori,0.1237,,652a08031f3e6000ac4dbe64,Crew,Stunts
False,1,1645445,Crew,Sarah Franzl,Sarah Franzl,0.3113,,652a0811f2883802a3273a77,Crew,Stunts
False,2,2020621,Crew,Glen Yrigoyen,Glen Yrigoyen,0.1573,,652a0815024ec800aecae6ad,Crew,Stunts
False,2,166543,Crew,Mario Roberts,Mario Roberts,0.9727,/smpxow6kyXsEYhqmiFqjlFHufsp.jpg,652a08290cb33516fec756a5,Crew,Stunts
False,2,1577649,Crew,Jaroslav Peterka,Jaroslav Peterka,0.9926,,652a08311f3e6001399df313,Crew,Stunts
False,1,1748761,Crew,Cris Thomas-Palomino,Cris Thomas-Palomino,0.1829,,652a0836f28838029f31cf11,Crew,Stunts
